Times,Rate,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
1,0.2,1,None,SVM,SVM,1.0,0.3,0.5477225575051661,0.4615384615384615,0.8833333333333333,0.65,"[[50  0]
 [ 7  3]]"
1,0.2,1,None,WSVM,WSVM,0.96,0.6,0.758946638440411,0.6666666666666665,0.9,0.78,"[[48  2]
 [ 4  6]]"
1,0.2,1,None,own_class_center,lin_center_own,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,1,None,own_class_center,exp,0.86,0.5,0.6557438524302001,0.45454545454545453,0.8,0.68,"[[43  7]
 [ 5  5]]"
1,0.2,1,None,estimated_hyper_lin,lin_center_own,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,1,None,estimated_hyper_lin,exp,0.9,0.6,0.7348469228349535,0.5714285714285713,0.85,0.7500000000000001,"[[45  5]
 [ 4  6]]"
1,0.2,1,None,actual_hyper_lin,lin_center_own,1.0,0.0,0.0,0.0,0.8333333333333334,0.5,"[[50  0]
 [10  0]]"
1,0.2,1,None,actual_hyper_lin,exp,0.9,0.9,0.9,0.75,0.9,0.9,"[[45  5]
 [ 1  9]]"
1,0.2,1,None,distance_center_own_opposite_tam,func_own_opp_new,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,1,None,distance_center_own_opposite_tam,func_own_opp_new_v1,0.88,0.7,0.7848566748139434,0.608695652173913,0.85,0.79,"[[44  6]
 [ 3  7]]"
1,0.2,1,None,distance_center_own_opposite_tam,func_own_opp_new_v2,0.62,1.0,0.7874007874011811,0.5128205128205129,0.6833333333333333,0.81,"[[31 19]
 [ 0 10]]"
1,0.2,1,1,own_class_center,lin_center_own,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,1,1,own_class_center,exp,0.86,0.6,0.7183313998427189,0.5217391304347826,0.8166666666666667,0.7300000000000001,"[[43  7]
 [ 4  6]]"
1,0.2,1,1,estimated_hyper_lin,lin_center_own,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,1,1,estimated_hyper_lin,exp,0.92,0.6,0.7429670248402684,0.6,0.8666666666666667,0.7600000000000001,"[[46  4]
 [ 4  6]]"
1,0.2,1,1,actual_hyper_lin,lin_center_own,0.58,1.0,0.7615773105863908,0.4878048780487805,0.65,0.79,"[[29 21]
 [ 0 10]]"
1,0.2,1,1,actual_hyper_lin,exp,0.9,0.8,0.8485281374238571,0.6956521739130435,0.8833333333333333,0.8500000000000001,"[[45  5]
 [ 2  8]]"
1,0.2,1,1,distance_center_own_opposite_tam,func_own_opp_new,0.92,0.6,0.7429670248402684,0.6,0.8666666666666667,0.7600000000000001,"[[46  4]
 [ 4  6]]"
1,0.2,1,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.7,0.8024961059095552,0.6666666666666666,0.8833333333333333,0.81,"[[46  4]
 [ 3  7]]"
1,0.2,1,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.62,1.0,0.7874007874011811,0.5128205128205129,0.6833333333333333,0.81,"[[31 19]
 [ 0 10]]"
1,0.2,2,None,SVM,SVM,0.92,0.4,0.6066300355241241,0.4444444444444445,0.8333333333333334,0.66,"[[46  4]
 [ 6  4]]"
1,0.2,2,None,WSVM,WSVM,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.7000000000000001,"[[45  5]
 [ 5  5]]"
1,0.2,2,None,own_class_center,lin_center_own,0.9,0.6,0.7348469228349535,0.5714285714285713,0.85,0.7500000000000001,"[[45  5]
 [ 4  6]]"
1,0.2,2,None,own_class_center,exp,0.88,0.7,0.7848566748139434,0.608695652173913,0.85,0.79,"[[44  6]
 [ 3  7]]"
1,0.2,2,None,estimated_hyper_lin,lin_center_own,0.88,0.5,0.6633249580710799,0.47619047619047616,0.8166666666666667,0.6900000000000001,"[[44  6]
 [ 5  5]]"
1,0.2,2,None,estimated_hyper_lin,exp,0.84,0.8,0.8197560612767679,0.6153846153846154,0.8333333333333334,0.8200000000000001,"[[42  8]
 [ 2  8]]"
1,0.2,2,None,actual_hyper_lin,lin_center_own,1.0,0.0,0.0,0.0,0.8333333333333334,0.5,"[[50  0]
 [10  0]]"
1,0.2,2,None,actual_hyper_lin,exp,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.7000000000000001,"[[45  5]
 [ 5  5]]"
1,0.2,2,None,distance_center_own_opposite_tam,func_own_opp_new,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.7000000000000001,"[[45  5]
 [ 5  5]]"
1,0.2,2,None,distance_center_own_opposite_tam,func_own_opp_new_v1,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.7000000000000001,"[[45  5]
 [ 5  5]]"
1,0.2,2,None,distance_center_own_opposite_tam,func_own_opp_new_v2,0.6,0.9,0.7348469228349535,0.4615384615384615,0.65,0.75,"[[30 20]
 [ 1  9]]"
1,0.2,2,1,own_class_center,lin_center_own,0.88,0.5,0.6633249580710799,0.47619047619047616,0.8166666666666667,0.6900000000000001,"[[44  6]
 [ 5  5]]"
1,0.2,2,1,own_class_center,exp,0.88,0.7,0.7848566748139434,0.608695652173913,0.85,0.79,"[[44  6]
 [ 3  7]]"
1,0.2,2,1,estimated_hyper_lin,lin_center_own,0.88,0.5,0.6633249580710799,0.47619047619047616,0.8166666666666667,0.6900000000000001,"[[44  6]
 [ 5  5]]"
1,0.2,2,1,estimated_hyper_lin,exp,0.84,0.8,0.8197560612767679,0.6153846153846154,0.8333333333333334,0.8200000000000001,"[[42  8]
 [ 2  8]]"
1,0.2,2,1,actual_hyper_lin,lin_center_own,1.0,0.0,0.0,0.0,0.8333333333333334,0.5,"[[50  0]
 [10  0]]"
1,0.2,2,1,actual_hyper_lin,exp,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.7000000000000001,"[[45  5]
 [ 5  5]]"
1,0.2,2,1,distance_center_own_opposite_tam,func_own_opp_new,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.7000000000000001,"[[45  5]
 [ 5  5]]"
1,0.2,2,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.9,0.6,0.7348469228349535,0.5714285714285713,0.85,0.7500000000000001,"[[45  5]
 [ 4  6]]"
1,0.2,2,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.6,0.9,0.7348469228349535,0.4615384615384615,0.65,0.75,"[[30 20]
 [ 1  9]]"
1,0.2,3,None,SVM,SVM,0.96,0.2,0.4381780460041329,0.28571428571428575,0.8333333333333334,0.58,"[[48  2]
 [ 8  2]]"
1,0.2,3,None,WSVM,WSVM,0.88,0.4,0.593295878967653,0.4000000000000001,0.8,0.64,"[[44  6]
 [ 6  4]]"
1,0.2,3,None,own_class_center,lin_center_own,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.7000000000000001,"[[45  5]
 [ 5  5]]"
1,0.2,3,None,own_class_center,exp,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,3,None,estimated_hyper_lin,lin_center_own,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,3,None,estimated_hyper_lin,exp,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,3,None,actual_hyper_lin,lin_center_own,0.96,0.0,0.0,0.0,0.8,0.48,"[[48  2]
 [10  0]]"
1,0.2,3,None,actual_hyper_lin,exp,0.9,0.6,0.7348469228349535,0.5714285714285713,0.85,0.7500000000000001,"[[45  5]
 [ 4  6]]"
1,0.2,3,None,distance_center_own_opposite_tam,func_own_opp_new,0.92,0.6,0.7429670248402684,0.6,0.8666666666666667,0.7600000000000001,"[[46  4]
 [ 4  6]]"
1,0.2,3,None,distance_center_own_opposite_tam,func_own_opp_new_v1,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,3,None,distance_center_own_opposite_tam,func_own_opp_new_v2,0.68,0.9,0.7823042886243179,0.5142857142857143,0.7166666666666667,0.7899999999999999,"[[34 16]
 [ 1  9]]"
1,0.2,3,1,own_class_center,lin_center_own,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,3,1,own_class_center,exp,0.92,0.6,0.7429670248402684,0.6,0.8666666666666667,0.7600000000000001,"[[46  4]
 [ 4  6]]"
1,0.2,3,1,estimated_hyper_lin,lin_center_own,0.88,0.5,0.6633249580710799,0.47619047619047616,0.8166666666666667,0.6900000000000001,"[[44  6]
 [ 5  5]]"
1,0.2,3,1,estimated_hyper_lin,exp,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,3,1,actual_hyper_lin,lin_center_own,0.96,0.0,0.0,0.0,0.8,0.48,"[[48  2]
 [10  0]]"
1,0.2,3,1,actual_hyper_lin,exp,0.9,0.6,0.7348469228349535,0.5714285714285713,0.85,0.7500000000000001,"[[45  5]
 [ 4  6]]"
1,0.2,3,1,distance_center_own_opposite_tam,func_own_opp_new,0.92,0.6,0.7429670248402684,0.6,0.8666666666666667,0.7600000000000001,"[[46  4]
 [ 4  6]]"
1,0.2,3,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.6,0.7429670248402684,0.6,0.8666666666666667,0.7600000000000001,"[[46  4]
 [ 4  6]]"
1,0.2,3,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.68,0.9,0.7823042886243179,0.5142857142857143,0.7166666666666667,0.7899999999999999,"[[34 16]
 [ 1  9]]"
1,0.2,4,None,SVM,SVM,1.0,0.2,0.4472135954999579,0.33333333333333337,0.8666666666666667,0.6,"[[50  0]
 [ 8  2]]"
1,0.2,4,None,WSVM,WSVM,0.94,0.5,0.6855654600401044,0.5555555555555556,0.8666666666666667,0.72,"[[47  3]
 [ 5  5]]"
1,0.2,4,None,own_class_center,lin_center_own,0.92,0.8,0.8579044235810888,0.7272727272727272,0.9,0.8600000000000001,"[[46  4]
 [ 2  8]]"
1,0.2,4,None,own_class_center,exp,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
1,0.2,4,None,estimated_hyper_lin,lin_center_own,0.9,0.8,0.8485281374238571,0.6956521739130435,0.8833333333333333,0.8500000000000001,"[[45  5]
 [ 2  8]]"
1,0.2,4,None,estimated_hyper_lin,exp,0.86,0.8,0.8294576541331089,0.64,0.85,0.8300000000000001,"[[43  7]
 [ 2  8]]"
1,0.2,4,None,actual_hyper_lin,lin_center_own,0.92,0.2,0.4289522117905444,0.25,0.8,0.56,"[[46  4]
 [ 8  2]]"
1,0.2,4,None,actual_hyper_lin,exp,0.94,0.8,0.867179335547152,0.761904761904762,0.9166666666666666,0.87,"[[47  3]
 [ 2  8]]"
1,0.2,4,None,distance_center_own_opposite_tam,func_own_opp_new,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,4,None,distance_center_own_opposite_tam,func_own_opp_new_v1,0.9,0.7,0.7937253933193772,0.6363636363636365,0.8666666666666667,0.8,"[[45  5]
 [ 3  7]]"
1,0.2,4,None,distance_center_own_opposite_tam,func_own_opp_new_v2,0.6,1.0,0.7745966692414834,0.5,0.6666666666666666,0.8,"[[30 20]
 [ 0 10]]"
1,0.2,4,1,own_class_center,lin_center_own,0.92,0.8,0.8579044235810888,0.7272727272727272,0.9,0.8600000000000001,"[[46  4]
 [ 2  8]]"
1,0.2,4,1,own_class_center,exp,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
1,0.2,4,1,estimated_hyper_lin,lin_center_own,0.9,0.8,0.8485281374238571,0.6956521739130435,0.8833333333333333,0.8500000000000001,"[[45  5]
 [ 2  8]]"
1,0.2,4,1,estimated_hyper_lin,exp,0.88,0.7,0.7848566748139434,0.608695652173913,0.85,0.79,"[[44  6]
 [ 3  7]]"
1,0.2,4,1,actual_hyper_lin,lin_center_own,0.8,0.6,0.6928203230275509,0.4615384615384615,0.7666666666666667,0.7000000000000002,"[[40 10]
 [ 4  6]]"
1,0.2,4,1,actual_hyper_lin,exp,0.94,0.7,0.8111719916269299,0.7,0.9,0.82,"[[47  3]
 [ 3  7]]"
1,0.2,4,1,distance_center_own_opposite_tam,func_own_opp_new,0.9,0.6,0.7348469228349535,0.5714285714285713,0.85,0.7500000000000001,"[[45  5]
 [ 4  6]]"
1,0.2,4,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,4,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.6,1.0,0.7745966692414834,0.5,0.6666666666666666,0.8,"[[30 20]
 [ 0 10]]"
1,0.2,5,None,SVM,SVM,0.98,0.3,0.5422176684690383,0.4285714285714285,0.8666666666666667,0.64,"[[49  1]
 [ 7  3]]"
1,0.2,5,None,WSVM,WSVM,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,5,None,own_class_center,lin_center_own,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,5,None,own_class_center,exp,0.92,0.6,0.7429670248402684,0.6,0.8666666666666667,0.7600000000000001,"[[46  4]
 [ 4  6]]"
1,0.2,5,None,estimated_hyper_lin,lin_center_own,0.88,0.3,0.5138093031466052,0.3157894736842105,0.7833333333333333,0.5900000000000001,"[[44  6]
 [ 7  3]]"
1,0.2,5,None,estimated_hyper_lin,exp,0.88,0.5,0.6633249580710799,0.47619047619047616,0.8166666666666667,0.6900000000000001,"[[44  6]
 [ 5  5]]"
1,0.2,5,None,actual_hyper_lin,lin_center_own,1.0,0.0,0.0,0.0,0.8333333333333334,0.5,"[[50  0]
 [10  0]]"
1,0.2,5,None,actual_hyper_lin,exp,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,5,None,distance_center_own_opposite_tam,func_own_opp_new,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,5,None,distance_center_own_opposite_tam,func_own_opp_new_v1,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,5,None,distance_center_own_opposite_tam,func_own_opp_new_v2,0.58,0.9,0.7224956747275377,0.45000000000000007,0.6333333333333333,0.74,"[[29 21]
 [ 1  9]]"
1,0.2,5,1,own_class_center,lin_center_own,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,5,1,own_class_center,exp,0.92,0.6,0.7429670248402684,0.6,0.8666666666666667,0.7600000000000001,"[[46  4]
 [ 4  6]]"
1,0.2,5,1,estimated_hyper_lin,lin_center_own,0.92,0.4,0.6066300355241241,0.4444444444444445,0.8333333333333334,0.66,"[[46  4]
 [ 6  4]]"
1,0.2,5,1,estimated_hyper_lin,exp,0.88,0.5,0.6633249580710799,0.47619047619047616,0.8166666666666667,0.6900000000000001,"[[44  6]
 [ 5  5]]"
1,0.2,5,1,actual_hyper_lin,lin_center_own,0.56,0.9,0.709929573971954,0.4390243902439024,0.6166666666666667,0.73,"[[28 22]
 [ 1  9]]"
1,0.2,5,1,actual_hyper_lin,exp,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,5,1,distance_center_own_opposite_tam,func_own_opp_new,0.88,0.5,0.6633249580710799,0.47619047619047616,0.8166666666666667,0.6900000000000001,"[[44  6]
 [ 5  5]]"
1,0.2,5,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,5,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.58,0.9,0.7224956747275377,0.45000000000000007,0.6333333333333333,0.74,"[[29 21]
 [ 1  9]]"
Times,Rate,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
2,0.2,1,None,SVM,SVM,1.0,0.1,0.31622776601683794,0.18181818181818182,0.85,0.55,"[[50  0]
 [ 9  1]]"
2,0.2,1,None,WSVM,WSVM,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
2,0.2,1,None,own_class_center,lin_center_own,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
2,0.2,1,None,own_class_center,exp,0.94,0.7,0.8111719916269299,0.7,0.9,0.82,"[[47  3]
 [ 3  7]]"
2,0.2,1,None,estimated_hyper_lin,lin_center_own,0.96,0.7,0.8197560612767678,0.7368421052631577,0.9166666666666666,0.83,"[[48  2]
 [ 3  7]]"
2,0.2,1,None,estimated_hyper_lin,exp,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
2,0.2,1,None,actual_hyper_lin,lin_center_own,1.0,0.0,0.0,0.0,0.8333333333333334,0.5,"[[50  0]
 [10  0]]"
2,0.2,1,None,actual_hyper_lin,exp,0.94,0.8,0.867179335547152,0.761904761904762,0.9166666666666666,0.87,"[[47  3]
 [ 2  8]]"
2,0.2,1,None,distance_center_own_opposite_tam,func_own_opp_new,0.96,0.6,0.758946638440411,0.6666666666666665,0.9,0.78,"[[48  2]
 [ 4  6]]"
2,0.2,1,None,distance_center_own_opposite_tam,func_own_opp_new_v1,0.94,0.7,0.8111719916269299,0.7,0.9,0.82,"[[47  3]
 [ 3  7]]"
2,0.2,1,None,distance_center_own_opposite_tam,func_own_opp_new_v2,0.7,1.0,0.8366600265340756,0.5714285714285715,0.75,0.85,"[[35 15]
 [ 0 10]]"
2,0.2,1,1,own_class_center,lin_center_own,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
2,0.2,1,1,own_class_center,exp,0.94,0.7,0.8111719916269299,0.7,0.9,0.82,"[[47  3]
 [ 3  7]]"
2,0.2,1,1,estimated_hyper_lin,lin_center_own,0.96,0.7,0.8197560612767678,0.7368421052631577,0.9166666666666666,0.83,"[[48  2]
 [ 3  7]]"
2,0.2,1,1,estimated_hyper_lin,exp,0.94,0.5,0.6855654600401044,0.5555555555555556,0.8666666666666667,0.72,"[[47  3]
 [ 5  5]]"
2,0.2,1,1,actual_hyper_lin,lin_center_own,0.68,1.0,0.8246211251235321,0.5555555555555556,0.7333333333333333,0.84,"[[34 16]
 [ 0 10]]"
2,0.2,1,1,actual_hyper_lin,exp,0.94,0.8,0.867179335547152,0.761904761904762,0.9166666666666666,0.87,"[[47  3]
 [ 2  8]]"
2,0.2,1,1,distance_center_own_opposite_tam,func_own_opp_new,0.96,0.6,0.758946638440411,0.6666666666666665,0.9,0.78,"[[48  2]
 [ 4  6]]"
2,0.2,1,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.96,0.7,0.8197560612767678,0.7368421052631577,0.9166666666666666,0.83,"[[48  2]
 [ 3  7]]"
2,0.2,1,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.7,1.0,0.8366600265340756,0.5714285714285715,0.75,0.85,"[[35 15]
 [ 0 10]]"
2,0.2,2,None,SVM,SVM,0.98,0.3,0.5422176684690383,0.4285714285714285,0.8666666666666667,0.64,"[[49  1]
 [ 7  3]]"
2,0.2,2,None,WSVM,WSVM,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
2,0.2,2,None,own_class_center,lin_center_own,0.88,0.7,0.7848566748139434,0.608695652173913,0.85,0.79,"[[44  6]
 [ 3  7]]"
2,0.2,2,None,own_class_center,exp,0.84,0.7,0.7668115805072325,0.56,0.8166666666666667,0.77,"[[42  8]
 [ 3  7]]"
2,0.2,2,None,estimated_hyper_lin,lin_center_own,0.88,0.7,0.7848566748139434,0.608695652173913,0.85,0.79,"[[44  6]
 [ 3  7]]"
2,0.2,2,None,estimated_hyper_lin,exp,0.84,0.7,0.7668115805072325,0.56,0.8166666666666667,0.77,"[[42  8]
 [ 3  7]]"
2,0.2,2,None,actual_hyper_lin,lin_center_own,0.56,0.8,0.6693280212272605,0.4,0.6,0.6800000000000002,"[[28 22]
 [ 2  8]]"
2,0.2,2,None,actual_hyper_lin,exp,0.88,0.8,0.8390470785361213,0.6666666666666666,0.8666666666666667,0.8400000000000001,"[[44  6]
 [ 2  8]]"
2,0.2,2,None,distance_center_own_opposite_tam,func_own_opp_new,0.92,0.7,0.8024961059095552,0.6666666666666666,0.8833333333333333,0.81,"[[46  4]
 [ 3  7]]"
2,0.2,2,None,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.7,0.8024961059095552,0.6666666666666666,0.8833333333333333,0.81,"[[46  4]
 [ 3  7]]"
2,0.2,2,None,distance_center_own_opposite_tam,func_own_opp_new_v2,0.6,0.9,0.7348469228349535,0.4615384615384615,0.65,0.75,"[[30 20]
 [ 1  9]]"
2,0.2,2,1,own_class_center,lin_center_own,0.88,0.7,0.7848566748139434,0.608695652173913,0.85,0.79,"[[44  6]
 [ 3  7]]"
2,0.2,2,1,own_class_center,exp,0.84,0.7,0.7668115805072325,0.56,0.8166666666666667,0.77,"[[42  8]
 [ 3  7]]"
2,0.2,2,1,estimated_hyper_lin,lin_center_own,0.9,0.7,0.7937253933193772,0.6363636363636365,0.8666666666666667,0.8,"[[45  5]
 [ 3  7]]"
2,0.2,2,1,estimated_hyper_lin,exp,0.84,0.7,0.7668115805072325,0.56,0.8166666666666667,0.77,"[[42  8]
 [ 3  7]]"
2,0.2,2,1,actual_hyper_lin,lin_center_own,0.56,0.8,0.6693280212272605,0.4,0.6,0.6800000000000002,"[[28 22]
 [ 2  8]]"
2,0.2,2,1,actual_hyper_lin,exp,0.86,0.8,0.8294576541331089,0.64,0.85,0.8300000000000001,"[[43  7]
 [ 2  8]]"
2,0.2,2,1,distance_center_own_opposite_tam,func_own_opp_new,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
2,0.2,2,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.94,0.7,0.8111719916269299,0.7,0.9,0.82,"[[47  3]
 [ 3  7]]"
2,0.2,2,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.6,0.9,0.7348469228349535,0.4615384615384615,0.65,0.75,"[[30 20]
 [ 1  9]]"
2,0.2,3,None,SVM,SVM,0.96,0.2,0.4381780460041329,0.28571428571428575,0.8333333333333334,0.58,"[[48  2]
 [ 8  2]]"
2,0.2,3,None,WSVM,WSVM,0.92,0.4,0.6066300355241241,0.4444444444444445,0.8333333333333334,0.66,"[[46  4]
 [ 6  4]]"
2,0.2,3,None,own_class_center,lin_center_own,0.52,0.8,0.644980619863884,0.38095238095238093,0.5666666666666667,0.66,"[[26 24]
 [ 2  8]]"
2,0.2,3,None,own_class_center,exp,0.9,0.3,0.5196152422706632,0.33333333333333326,0.8,0.6000000000000001,"[[45  5]
 [ 7  3]]"
2,0.2,3,None,estimated_hyper_lin,lin_center_own,0.52,0.8,0.644980619863884,0.38095238095238093,0.5666666666666667,0.66,"[[26 24]
 [ 2  8]]"
2,0.2,3,None,estimated_hyper_lin,exp,0.9,0.4,0.6000000000000001,0.4210526315789474,0.8166666666666667,0.65,"[[45  5]
 [ 6  4]]"
2,0.2,3,None,actual_hyper_lin,lin_center_own,0.52,0.8,0.644980619863884,0.38095238095238093,0.5666666666666667,0.66,"[[26 24]
 [ 2  8]]"
2,0.2,3,None,actual_hyper_lin,exp,0.88,0.4,0.593295878967653,0.4000000000000001,0.8,0.64,"[[44  6]
 [ 6  4]]"
2,0.2,3,None,distance_center_own_opposite_tam,func_own_opp_new,0.88,0.4,0.593295878967653,0.4000000000000001,0.8,0.64,"[[44  6]
 [ 6  4]]"
2,0.2,3,None,distance_center_own_opposite_tam,func_own_opp_new_v1,0.88,0.4,0.593295878967653,0.4000000000000001,0.8,0.64,"[[44  6]
 [ 6  4]]"
